Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
CUDA_Naive,CUDA,4000,4000,64,1,3,0.002232,0.000901,0.182822
CUDA_Tiled,CUDA,4000,4000,64,1,1,0.001782,0.000902,0.182642
CUDA_Tiled,CUDA,4000,4000,64,1,2,0.001765,0.000903,0.184195
CUDA_Tiled,CUDA,4000,4000,64,1,3,0.001777,0.000899,0.186282
CUDA_Naive,CUDA,4000,4000,128,1,1,0.004273,0.001810,0.186753
CUDA_Naive,CUDA,4000,4000,128,1,2,0.004272,0.001799,0.190273
CUDA_Naive,CUDA,4000,4000,128,1,3,0.004304,0.001816,0.187966
CUDA_Tiled,CUDA,4000,4000,128,1,1,0.003285,0.001807,0.184708
CUDA_Tiled,CUDA,4000,4000,128,1,2,0.003295,0.001806,0.181761
CUDA_Tiled,CUDA,4000,4000,128,1,3,0.003266,0.001811,0.184052
CUDA_Naive,CUDA,2000,6000,3,1,1,0.001006,0.000048,0.175652
CUDA_Naive,CUDA,2000,6000,3,1,2,0.000999,0.000047,0.183719
CUDA_Naive,CUDA,2000,6000,3,1,3,0.000998,0.000046,0.180752
CUDA_Tiled,CUDA,2000,6000,3,1,1,0.000897,0.000046,0.179295
CUDA_Tiled,CUDA,2000,6000,3,1,2,0.000897,0.000051,0.177475
CUDA_Tiled,CUDA,2000,6000,3,1,3,0.000897,0.000047,0.179710
CUDA_Naive,CUDA,2000,6000,6,1,1,0.000999,0.000139,0.178580
CUDA_Naive,CUDA,2000,6000,6,1,2,0.001010,0.000141,0.178230
CUDA_Naive,CUDA,2000,6000,6,1,3,0.000999,0.000141,0.180378
CUDA_Tiled,CUDA,2000,6000,6,1,1,0.000898,0.000141,0.178086
CUDA_Tiled,CUDA,2000,6000,6,1,2,0.000905,0.000141,0.177959
CUDA_Tiled,CUDA,2000,6000,6,1,3,0.000901,0.000140,0.181838
CUDA_Naive,CUDA,2000,6000,8,1,1,0.000993,0.000182,0.175804
CUDA_Naive,CUDA,2000,6000,8,1,2,0.001000,0.000181,0.182033
CUDA_Naive,CUDA,2000,6000,8,1,3,0.001001,0.000184,0.179480
CUDA_Tiled,CUDA,2000,6000,8,1,1,0.000898,0.000183,0.181342
CUDA_Tiled,CUDA,2000,6000,8,1,2,0.000904,0.000182,0.179087
CUDA_Tiled,CUDA,2000,6000,8,1,3,0.000905,0.000187,0.180555
CUDA_Naive,CUDA,2000,6000,20,1,1,0.001005,0.000431,0.185749
CUDA_Naive,CUDA,2000,6000,20,1,2,0.001012,0.000427,0.180015
CUDA_Naive,CUDA,2000,6000,20,1,3,0.001011,0.000432,0.180379
CUDA_Tiled,CUDA,2000,6000,20,1,1,0.000900,0.000433,0.183790
CUDA_Tiled,CUDA,2000,6000,20,1,2,0.000906,0.000427,0.184041
CUDA_Tiled,CUDA,2000,6000,20,1,3,0.000906,0.000433,0.179335
CUDA_Naive,CUDA,2000,6000,32,1,1,0.000989,0.000685,0.184994
CUDA_Naive,CUDA,2000,6000,32,1,2,0.000988,0.000678,0.179040
CUDA_Naive,CUDA,2000,6000,32,1,3,0.000989,0.000679,0.180135
CUDA_Tiled,CUDA,2000,6000,32,1,1,0.000900,0.000676,0.182084
CUDA_Tiled,CUDA,2000,6000,32,1,2,0.000901,0.000678,0.178832
CUDA_Tiled,CUDA,2000,6000,32,1,3,0.000901,0.000683,0.178851
CUDA_Naive,CUDA,2000,6000,64,1,1,0.001776,0.001340,0.181260
CUDA_Naive,CUDA,2000,6000,64,1,2,0.001775,0.001356,0.181887
CUDA_Naive,CUDA,2000,6000,64,1,3,0.001762,0.001345,0.185589
CUDA_Tiled,CUDA,2000,6000,64,1,1,0.001344,0.001341,0.180624
CUDA_Tiled,CUDA,2000,6000,64,1,2,0.001361,0.001353,0.179985
CUDA_Tiled,CUDA,2000,6000,64,1,3,0.001359,0.001335,0.182460
CUDA_Naive,CUDA,2000,6000,128,1,1,0.003311,0.002707,0.182676
CUDA_Naive,CUDA,2000,6000,128,1,2,0.003317,0.002172,0.181383
CUDA_Naive,CUDA,2000,6000,128,1,3,0.003335,0.002173,0.185683
CUDA_Tiled,CUDA,2000,6000,128,1,1,0.002656,0.002278,0.181168
CUDA_Tiled,CUDA,2000,6000,128,1,2,0.002689,0.002743,0.182939
