Mode,M,N,k,MPI_Ranks,OMP_Threads,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Naive_Hybrid,4000,4000,6,2,20,5,0.003855,0.000000,0.00e+00,49.8116,0.0000
Opt_SMP,4000,4000,6,1,40,1,0.044398,0.063285,0.00e+00,4.3245,1.4254
Opt_SMP,4000,4000,6,1,40,2,0.045081,0.000000,0.00e+00,4.2590,0.0000
Opt_SMP,4000,4000,6,1,40,3,0.044582,0.000000,0.00e+00,4.3066,0.0000
Opt_SMP,4000,4000,6,1,40,4,0.044595,0.000000,0.00e+00,4.3055,0.0000
Opt_SMP,4000,4000,6,1,40,5,0.045194,0.000000,0.00e+00,4.2483,0.0000
Opt_Hybrid,4000,4000,6,2,20,1,0.002892,0.063314,0.00e+00,66.3811,21.8900
Opt_Hybrid,4000,4000,6,2,20,2,0.002878,0.000000,0.00e+00,66.7226,0.0000
Opt_Hybrid,4000,4000,6,2,20,3,0.002880,0.000000,0.00e+00,66.6648,0.0000
Opt_Hybrid,4000,4000,6,2,20,4,0.002867,0.000000,0.00e+00,66.9591,0.0000
Opt_Hybrid,4000,4000,6,2,20,5,0.002876,0.000000,0.00e+00,66.7565,0.0000
Opt_Hybrid,4000,4000,6,4,10,1,0.002824,0.063576,7.94e-15,67.9794,22.5095
Opt_Hybrid,4000,4000,6,4,10,2,0.002883,0.000000,0.00e+00,66.6088,0.0000
Opt_Hybrid,4000,4000,6,4,10,3,0.002846,0.000000,0.00e+00,67.4689,0.0000
Opt_Hybrid,4000,4000,6,4,10,4,0.002923,0.000000,0.00e+00,65.6830,0.0000
Opt_Hybrid,4000,4000,6,4,10,5,0.002921,0.000000,0.00e+00,65.7261,0.0000
Opt_Hybrid,4000,4000,6,8,5,1,0.010898,0.066355,7.94e-15,17.6178,6.0887
Opt_Hybrid,4000,4000,6,8,5,2,0.008121,0.000000,0.00e+00,23.6421,0.0000
Opt_Hybrid,4000,4000,6,8,5,3,0.008320,0.000000,0.00e+00,23.0767,0.0000
Opt_Hybrid,4000,4000,6,8,5,4,0.010011,0.000000,0.00e+00,19.1792,0.0000
Opt_Hybrid,4000,4000,6,8,5,5,0.009407,0.000000,0.00e+00,20.4100,0.0000
Serial,4000,4000,8,1,1,1,0.043867,0.074891,0.00e+00,5.8358,1.7072
Serial,4000,4000,8,1,1,2,0.043381,0.000000,0.00e+00,5.9012,0.0000
Serial,4000,4000,8,1,1,3,0.043435,0.000000,0.00e+00,5.8939,0.0000
Serial,4000,4000,8,1,1,4,0.043493,0.000000,0.00e+00,5.8860,0.0000
Serial,4000,4000,8,1,1,5,0.043182,0.000000,0.00e+00,5.9284,0.0000
Naive_SMP,4000,4000,8,1,40,1,0.068528,0.074900,0.00e+00,3.7357,1.0930
Naive_SMP,4000,4000,8,1,40,2,0.067882,0.000000,0.00e+00,3.7712,0.0000
Naive_SMP,4000,4000,8,1,40,3,0.068348,0.000000,0.00e+00,3.7455,0.0000
Naive_SMP,4000,4000,8,1,40,4,0.068426,0.000000,0.00e+00,3.7412,0.0000
Naive_SMP,4000,4000,8,1,40,5,0.071714,0.000000,0.00e+00,3.5698,0.0000
Naive_Hybrid,4000,4000,8,2,20,1,0.004521,0.075868,0.00e+00,56.6191,16.7796
Naive_Hybrid,4000,4000,8,2,20,2,0.004572,0.000000,0.00e+00,55.9987,0.0000
Naive_Hybrid,4000,4000,8,2,20,3,0.004522,0.000000,0.00e+00,56.6133,0.0000
Naive_Hybrid,4000,4000,8,2,20,4,0.004648,0.000000,0.00e+00,55.0803,0.0000
Naive_Hybrid,4000,4000,8,2,20,5,0.004529,0.000000,0.00e+00,56.5216,0.0000
Opt_SMP,4000,4000,8,1,40,1,0.035595,0.075413,0.00e+00,7.1920,2.1186
Opt_SMP,4000,4000,8,1,40,2,0.035755,0.000000,0.00e+00,7.1598,0.0000
Opt_SMP,4000,4000,8,1,40,3,0.035675,0.000000,0.00e+00,7.1759,0.0000
Opt_SMP,4000,4000,8,1,40,4,0.036803,0.000000,0.00e+00,6.9559,0.0000
Opt_SMP,4000,4000,8,1,40,5,0.037215,0.000000,0.00e+00,6.8790,0.0000
Opt_Hybrid,4000,4000,8,2,20,1,0.002422,0.076154,0.00e+00,105.7044,31.4445
Opt_Hybrid,4000,4000,8,2,20,2,0.002455,0.000000,0.00e+00,104.2938,0.0000
